date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:19	9464/9464	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2022:54:18%20GMT	http://www.trustpair.fr/jobs.php	/home/boss/websites/France/www.trustpair.fr/jobs.html	(from http://www.trustpair.fr/)
00:54:19	6976/6976	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jan%202018%2022:54:18%20GMT	http://www.trustpair.fr/legal.php	/home/boss/websites/France/www.trustpair.fr/legal.html	(from http://www.trustpair.fr/)
00:54:21	5555/5555	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202017%2000:30:21%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	/home/boss/websites/France/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from http://www.trustpair.fr/)
00:54:22	2955/2955	---M--	200	added ('OK')	application/javascript	etag:%22596362d1-b8b%22	http://www.trustpair.fr/js/contact_me.js	/home/boss/websites/France/www.trustpair.fr/js/contact_me.js	(from http://www.trustpair.fr/)
00:54:22	1127/1127	---M--	200	added ('OK')	application/javascript	etag:%225a3a68b8-467%22	http://www.trustpair.fr/js/agency.min.js	/home/boss/websites/France/www.trustpair.fr/js/agency.min.js	(from http://www.trustpair.fr/)
00:54:24	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%22596362d1-90b5%22	http://www.trustpair.fr/vendor/bootstrap/js/bootstrap.min.js	/home/boss/websites/France/www.trustpair.fr/vendor/bootstrap/js/bootstrap.min.js	(from http://www.trustpair.fr/)
00:54:25	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202018%2022:54:24%20GMT	http://myjoulebox.com/robots.txt		(from )
00:54:25	36171/36171	---M--	200	added ('OK')	application/javascript	etag:%22596362d1-8d4b%22	http://www.trustpair.fr/js/jqBootstrapValidation.js	/home/boss/websites/France/www.trustpair.fr/js/jqBootstrapValidation.js	(from http://www.trustpair.fr/)
00:54:25	41253/41253	---MCZ	200	added ('OK')	text/css	etag:W/%225834379b-a125%22	http://myjoulebox.com/assets/css/main.css	/home/boss/websites/France/myjoulebox.com/assets/css/main.css	(from http://myjoulebox.com/)
00:54:27	12697/12697	---M--	200	added ('OK')	image/gif	etag:%2257d6a7d0-3199%22	http://myjoulebox.com/images/pic02.gif	/home/boss/websites/France/myjoulebox.com/images/pic02.gif	(from http://myjoulebox.com/)
00:54:29	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%22596362d1-17b8b%22	http://www.trustpair.fr/vendor/jquery/jquery.min.js	/home/boss/websites/France/www.trustpair.fr/vendor/jquery/jquery.min.js	(from http://www.trustpair.fr/)
00:54:31	12302/12302	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d2-300e%22	http://myjoulebox.com/images/fulls/02.jpg	/home/boss/websites/France/myjoulebox.com/images/fulls/02.jpg	(from http://myjoulebox.com/)
00:54:32	43227/43227	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7cf-a8db%22	http://myjoulebox.com/images/pic01.jpg	/home/boss/websites/France/myjoulebox.com/images/pic01.jpg	(from http://myjoulebox.com/)
00:54:34	10582/10582	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d3-2956%22	http://myjoulebox.com/images/fulls/03.jpg	/home/boss/websites/France/myjoulebox.com/images/fulls/03.jpg	(from http://myjoulebox.com/)
00:54:35	62164/62164	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d2-f2d4%22	http://myjoulebox.com/images/fulls/01.jpg	/home/boss/websites/France/myjoulebox.com/images/fulls/01.jpg	(from http://myjoulebox.com/)
00:54:36	10582/10582	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d5-2956%22	http://myjoulebox.com/images/thumbs/03.jpg	/home/boss/websites/France/myjoulebox.com/images/thumbs/03.jpg	(from http://myjoulebox.com/)
00:54:37	62164/62164	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d4-f2d4%22	http://myjoulebox.com/images/thumbs/01.jpg	/home/boss/websites/France/myjoulebox.com/images/thumbs/01.jpg	(from http://myjoulebox.com/)
00:54:40	16716/16716	---M--	200	added ('OK')	image/jpeg	etag:%2257d049fe-414c%22	http://myjoulebox.com/images/fulls/05.jpg	/home/boss/websites/France/myjoulebox.com/images/fulls/05.jpg	(from http://myjoulebox.com/)
00:54:40	25001/25001	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d6-61a9%22	http://myjoulebox.com/images/thumbs/04.jpg	/home/boss/websites/France/myjoulebox.com/images/thumbs/04.jpg	(from http://myjoulebox.com/)
00:54:40	58579/58579	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d4-e4d3%22	http://myjoulebox.com/images/thumbs/02.jpeg	/home/boss/websites/France/myjoulebox.com/images/thumbs/02.jpg	(from http://myjoulebox.com/)
00:54:41	37935/37935	---M--	200	added ('OK')	image/jpeg	etag:%2257d049fe-942f%22	http://myjoulebox.com/images/fulls/04.jpg	/home/boss/websites/France/myjoulebox.com/images/fulls/04.jpg	(from http://myjoulebox.com/)
00:54:49	44197/44197	---M--	200	added ('OK')	image/jpeg	etag:%2257d049fe-aca5%22	http://myjoulebox.com/images/fulls/07.jpg	/home/boss/websites/France/myjoulebox.com/images/fulls/07.jpg	(from http://myjoulebox.com/)
00:54:51	12302/12302	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d7-300e%22	http://myjoulebox.com/images/thumbs/07.jpg	/home/boss/websites/France/myjoulebox.com/images/thumbs/07.jpg	(from http://myjoulebox.com/)
00:54:54	19922/19922	---M--	200	added ('OK')	image/jpeg	etag:%2257d049ff-4dd2%22	http://myjoulebox.com/images/fulls/08.jpg	/home/boss/websites/France/myjoulebox.com/images/fulls/08.jpg	(from http://myjoulebox.com/)
00:54:55	4640/4640	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d7-1220%22	http://myjoulebox.com/images/thumbs/08.jpg	/home/boss/websites/France/myjoulebox.com/images/thumbs/08.jpg	(from http://myjoulebox.com/)
00:55:00	122882/122882	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d3-1e002%22	http://myjoulebox.com/images/fulls/06.jpg	/home/boss/websites/France/myjoulebox.com/images/fulls/06.jpg	(from http://myjoulebox.com/)
00:55:00	122882/122882	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d7-1e002%22	http://myjoulebox.com/images/thumbs/06.jpg	/home/boss/websites/France/myjoulebox.com/images/thumbs/06.jpg	(from http://myjoulebox.com/)
00:55:01	835/835	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257d049fa-343%22	http://myjoulebox.com/assets/js/jquery.scrolly.min.js	/home/boss/websites/France/myjoulebox.com/assets/js/jquery.scrolly.min.js	(from http://myjoulebox.com/)
00:55:01	95957/95957	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257d049fa-176d5%22	http://myjoulebox.com/assets/js/jquery.min.js	/home/boss/websites/France/myjoulebox.com/assets/js/jquery.min.js	(from http://myjoulebox.com/)
00:55:01	139791/139791	---M--	200	added ('OK')	image/jpeg	etag:%2257d6a7d6-2220f%22	http://myjoulebox.com/images/thumbs/05.jpg	/home/boss/websites/France/myjoulebox.com/images/thumbs/05.jpg	(from http://myjoulebox.com/)
